0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
109.46,111.46,112.85,114.24,114.64,114.92,117.54,117.75,119.2,120.34,123.31,121.72,121.45,124.29,126.95,126.95,129.11,130.46,130.78,133.29,133.69,135.69,136.88,138.11,139.08,140.96,141.57,145.08,146.17,148.87,155.38,156.96,161.36,164.08,168.42,170.04,175.53,175.54,179.28,186.1
106.66,106.48,106.4,110.31,111.82,111.18,111.61,113.32,114.5,114.04,114.36,114.1,115.0,115.44,117.6,118.65,121.71,122.66,123.08,124.99,125.38,125.99,127.94,129.03,130.44,131.4,132.02,134.34,135.28,138.92,140.04,142.14,144.46,148.68,151.01,154.53,158.13,159.98,163.56,166.55
106.83,107.17,107.25,109.02,110.48,111.47,113.14,114.67,116.15,119.7,123.12,126.23,130.05,135.29,139.92,142.09,147.81,149.93,149.53,150.32,149.94,150.33,152.72,153.31,153.32,153.28,152.16,152.98,153.11,153.72,153.82,156.22,157.13,160.56,163.56,165.6,167.67,173.17,176.74,180.3
98.85,98.15,99.03,101.63,103.59,102.63,103.69,104.63,104.54,103.78,105.13,102.79,104.22,104.98,107.44,109.24,111.92,114.06,115.79,117.65,119.74,123.35,126.96,130.38,133.95,138.17,144.3,152.86,159.51,170.17,189.95,201.62,215.36,230.39,245.91,260.81,270.67,276.33,279.35,280.1
104.88,104.13,105.43,106.61,108.14,107.99,108.79,109.79,110.92,111.47,112.14,113.54,115.33,116.64,118.81,120.23,123.01,125.38,128.2,130.06,133.29,137.47,141.31,144.08,147.03,150.23,154.65,163.27,167.95,175.38,187.54,194.33,202.76,214.28,225.49,233.51,240.37,244.93,248.52,251.98
108.62,105.61,103.83,109.3,112.75,110.97,111.69,113.24,115.47,111.51,109.6,113.55,113.34,116.86,118.75,119.52,125.15,123.93,127.58,130.27,131.38,132.22,138.92,140.87,141.77,142.7,148.16,152.48,152.43,159.65,166.21,168.66,174.98,176.33,183.22,184.68,188.15,187.28,189.89,195.98
106.43,108.58,110.19,111.61,112.94,114.7,118.01,120.14,123.19,128.48,133.44,140.56,145.34,152.96,159.57,164.11,168.94,175.17,182.0,186.87,194.93,204.21,212.39,217.96,224.19,229.86,235.42,249.01,256.37,266.08,278.27,283.76,292.63,299.29,303.97,307.42,309.31,306.54,301.93,301.67
109.39,111.24,112.69,114.96,115.94,117.51,119.27,119.91,120.71,122.9,124.39,124.47,125.94,126.38,127.51,128.78,131.98,132.74,133.82,135.12,134.94,136.11,138.01,139.9,141.06,141.99,142.79,144.16,145.72,146.7,149.31,149.83,151.06,153.79,157.61,164.7,168.6,173.3,177.7,180.85
117.55,119.54,121.44,124.23,126.48,130.07,129.83,130.55,132.77,133.37,135.24,139.17,137.72,139.49,141.74,143.58,146.8,147.63,149.57,151.01,152.75,154.31,155.26,156.48,157.21,159.84,162.07,164.4,166.44,167.24,168.12,171.76,174.52,172.39,174.97,176.99,177.26,176.78,175.29,175.7
117.45,119.53,121.71,124.46,123.72,128.62,129.44,130.88,132.95,134.58,136.05,137.15,138.32,141.92,144.27,145.8,147.68,151.76,152.1,153.76,155.69,156.18,158.51,160.52,160.69,163.93,163.39,166.11,167.27,168.67,166.97,174.89,172.32,173.17,174.61,173.27,175.57,169.21,169.76,172.43
103.9,107.62,107.15,108.33,110.44,111.25,111.27,112.05,115.01,115.68,116.44,116.88,118.6,118.77,118.73,120.65,121.75,125.01,124.37,125.25,126.44,128.66,129.63,131.06,132.04,132.37,133.29,135.91,135.75,137.63,139.79,143.03,140.85,142.03,144.02,146.66,151.17,152.95,155.42,160.43
114.6,115.52,119.91,119.83,121.51,121.89,121.51,122.25,123.48,124.13,125.68,128.65,122.02,127.03,128.44,128.32,136.38,132.43,135.75,139.72,136.52,138.65,141.41,142.27,140.85,143.44,143.41,149.52,148.56,144.57,152.83,152.21,156.82,162.03,162.07,164.98,166.73,169.93,174.42,172.15
104.64,103.64,103.89,106.4,107.2,107.59,106.91,108.87,108.78,108.87,108.62,109.47,110.56,112.03,112.36,114.33,116.76,118.61,119.46,120.28,123.17,123.6,126.66,127.52,130.22,132.74,136.89,143.89,148.46,155.25,165.11,172.46,178.33,189.46,197.96,207.75,210.16,216.99,220.73,220.29
107.61,109.27,110.75,113.34,115.06,115.21,116.6,118.22,120.93,122.17,123.36,127.03,129.18,131.66,133.86,135.35,139.94,142.25,145.04,146.43,149.9,153.16,155.5,158.05,160.91,162.66,165.5,169.86,171.52,178.18,183.92,189.83,196.38,208.96,226.8,247.03,262.87,285.49,295.82,297.42
108.19,108.57,108.94,110.13,111.57,110.91,112.59,113.22,113.59,114.88,117.4,117.49,117.3,120.85,120.42,121.2,123.88,125.65,127.31,126.75,130.95,132.34,133.53,135.05,137.13,138.98,142.53,146.29,148.23,151.86,156.19,158.17,162.1,169.04,171.62,175.95,176.71,181.14,182.7,186.59
97.32,99.32,100.0,100.65,104.99,105.89,107.39,107.56,109.17,111.51,108.66,110.3,107.59,110.44,112.39,112.49,116.34,117.31,116.5,119.89,123.22,124.07,123.9,125.44,127.92,126.49,127.44,126.55,131.59,132.08,135.56,132.47,137.53,145.93,152.17,150.45,154.97,157.5,161.89,165.29
109.01,109.63,111.97,113.12,115.19,115.99,117.09,118.66,119.52,120.37,120.39,122.04,122.32,123.79,124.75,126.02,129.93,130.66,131.72,133.2,133.9,135.3,137.24,138.57,140.41,141.75,142.83,144.51,146.73,147.75,150.76,153.8,155.37,159.27,161.66,164.34,166.62,168.43,170.59,172.97
108.63,109.0,109.63,109.45,111.32,113.44,114.33,115.47,116.49,116.9,117.16,116.24,119.89,118.49,119.25,122.17,124.43,124.86,125.83,126.97,128.17,130.92,133.25,134.9,135.51,136.96,139.07,139.21,141.82,144.32,148.74,150.95,151.58,156.67,161.89,162.84,165.25,170.49,174.6,174.56
105.89,107.9,109.43,110.85,112.48,113.92,115.43,115.95,115.74,121.02,122.91,121.61,125.96,126.17,128.28,129.21,132.06,134.4,135.18,136.41,139.02,140.27,143.07,143.95,146.24,147.14,148.99,151.25,154.82,158.0,163.04,162.45,169.4,174.75,178.63,182.11,179.46,188.47,193.66,195.55
106.4,108.02,108.76,110.23,110.6,111.4,112.54,113.4,114.9,115.28,116.24,116.71,117.68,119.51,120.14,121.01,122.38,123.03,124.36,124.87,125.48,126.56,127.61,128.82,128.91,129.74,130.84,133.1,133.77,134.98,136.44,138.69,138.0,140.52,141.0,141.2,141.7,144.34,144.43,146.48
108.83,109.89,111.77,111.33,113.75,113.46,113.91,115.09,115.08,115.03,116.63,115.45,116.2,118.31,119.04,120.97,122.57,123.23,123.67,125.0,125.73,126.81,128.31,128.44,130.31,131.57,133.25,136.77,136.39,140.22,140.66,143.99,146.89,148.1,149.98,148.23,152.92,151.41,155.34,154.91
113.28,116.16,112.95,121.68,118.02,122.55,123.11,113.95,122.82,115.04,116.54,122.69,121.35,123.96,121.93,123.16,126.52,129.27,129.46,134.85,132.24,133.1,134.75,136.33,138.71,139.84,140.17,142.78,141.78,147.42,153.38,155.94,154.55,160.97,160.22,169.63,172.21,173.93,171.21,175.27
107.06,107.79,109.68,109.84,111.37,111.63,112.21,113.0,115.14,115.15,115.15,114.77,116.78,117.08,118.79,119.58,122.82,124.6,126.12,127.3,127.75,128.98,130.95,131.6,133.3,133.67,134.76,137.04,138.22,139.86,144.3,146.81,148.66,156.54,167.09,179.97,189.56,201.31,208.5,212.23
109.66,111.52,113.3,115.21,116.85,119.6,122.97,125.18,128.12,132.46,138.73,142.39,148.64,153.73,159.88,163.77,168.36,173.63,179.25,183.35,189.48,196.8,203.12,208.15,212.88,216.78,220.75,231.19,234.94,240.29,252.03,256.34,261.4,267.25,270.15,272.46,272.65,267.86,266.3,266.58
109.95,111.34,112.94,114.9,116.48,117.46,120.2,121.81,124.16,128.84,135.16,137.31,143.64,149.64,154.79,157.79,162.95,166.48,171.35,171.67,173.36,174.95,176.87,177.92,177.83,178.02,178.38,179.25,179.93,182.08,184.65,185.73,188.79,190.86,193.46,192.48,193.45,195.45,194.74,196.14
107.35,108.26,110.59,111.41,112.57,113.22,114.32,115.5,115.82,116.5,116.69,117.39,118.01,118.94,118.75,119.94,123.17,123.84,124.52,126.08,125.84,125.8,127.93,129.0,128.83,130.25,131.3,131.88,134.24,134.41,134.69,138.19,139.99,141.83,145.26,146.02,147.1,146.78,147.12,148.64
106.1,104.23,106.97,106.73,109.31,108.92,112.1,112.01,113.2,114.03,114.97,115.84,118.94,119.33,120.74,123.46,126.69,127.63,128.94,130.7,132.48,135.46,137.53,139.46,140.85,142.26,145.51,150.12,154.21,159.1,169.1,174.11,180.08,189.34,200.4,208.56,220.68,226.95,233.4,237.34
106.53,107.61,108.02,109.3,112.28,112.99,114.97,116.51,119.36,121.66,124.96,125.5,130.76,134.88,138.74,140.37,144.33,147.97,151.85,154.44,158.07,163.06,167.53,171.14,172.99,175.71,179.78,186.64,189.48,196.06,208.23,211.74,217.32,226.2,232.28,236.76,240.37,241.39,238.92,239.05
106.22,107.1,108.43,111.01,108.69,110.37,109.07,112.05,112.78,114.84,112.34,114.7,113.8,115.23,115.94,117.74,122.02,121.94,124.19,125.63,124.0,126.07,128.92,131.27,133.61,132.48,134.2,132.56,134.0,133.12,139.29,135.46,139.02,141.59,145.93,148.56,144.73,147.67,149.37,150.72
111.82,112.2,113.62,113.74,115.88,116.79,119.42,120.52,123.82,122.89,126.9,128.66,130.7,131.74,133.22,137.79,142.7,143.7,145.05,146.72,149.0,148.24,152.55,154.24,156.08,158.09,160.72,166.0,167.11,169.85,176.28,177.5,184.04,191.83,195.48,196.96,207.25,212.87,216.15,220.98
103.4,101.9,102.89,103.39,105.73,104.67,104.81,105.72,106.2,104.75,103.62,103.21,102.73,104.69,106.11,106.14,109.17,109.97,111.13,112.4,113.48,114.21,115.73,116.96,117.89,119.1,120.84,122.88,123.74,125.81,128.17,129.82,131.0,131.87,135.52,136.33,136.59,136.75,137.92,139.95
107.74,108.98,109.66,112.14,114.11,114.93,115.66,117.0,119.35,118.21,118.84,119.46,120.64,122.0,123.52,124.57,127.17,128.33,129.67,130.83,131.08,131.17,133.44,133.97,135.48,135.56,135.53,137.66,137.86,136.3,134.81,137.63,139.75,140.43,139.63,139.95,141.33,142.24,141.41,143.44
104.44,103.64,104.69,104.9,106.21,106.38,107.1,108.11,109.16,110.0,113.92,115.18,118.46,121.23,123.27,125.63,127.97,130.35,133.71,135.35,138.1,141.79,143.61,144.28,145.95,148.03,151.43,159.09,161.23,165.84,177.25,179.85,185.41,191.93,198.13,203.54,205.56,209.26,209.56,211.63
109.53,111.25,113.17,114.97,116.7,119.56,122.68,124.51,127.4,132.28,138.1,141.77,148.24,153.15,158.79,162.59,166.8,171.97,177.52,180.37,185.1,191.28,195.75,199.46,202.5,205.04,208.19,215.68,218.44,222.71,233.25,235.82,240.77,246.16,249.78,249.36,248.53,245.27,243.86,244.02
103.26,103.54,103.97,103.86,106.81,106.29,106.6,107.33,108.18,108.43,108.98,108.48,110.13,111.67,113.66,114.45,117.42,120.03,122.74,124.75,127.43,131.5,135.84,138.86,141.69,144.62,149.42,156.29,160.35,166.2,175.74,180.47,186.22,194.11,202.13,207.95,212.07,216.5,218.5,221.01
113.9,114.74,116.47,118.57,120.58,121.93,122.92,125.38,126.07,126.41,126.32,128.47,128.79,130.21,130.89,132.41,136.64,137.1,138.44,140.55,141.53,141.22,144.05,143.93,145.91,147.56,147.68,149.38,150.98,151.01,150.44,152.22,154.17,154.98,155.68,156.22,154.23,155.35,153.92,153.17
107.09,104.4,108.18,109.52,111.4,110.4,111.36,113.11,113.99,113.32,114.68,115.89,118.51,120.27,123.37,126.42,129.87,133.13,136.8,140.62,145.95,150.35,155.25,159.8,162.89,167.63,171.63,178.69,184.61,193.48,205.35,216.89,231.59,256.96,279.66,297.82,312.18,314.23,309.25,303.25
107.66,105.65,110.8,108.56,112.1,111.0,115.49,115.78,114.77,115.92,115.86,114.68,116.27,118.78,119.32,120.04,123.66,126.04,125.01,127.02,128.06,128.51,130.44,132.45,133.25,133.82,134.69,138.03,139.65,139.71,139.81,144.2,145.34,147.52,153.25,153.71,152.82,153.46,154.54,156.09
104.31,108.08,107.44,110.73,108.53,110.62,112.51,113.12,112.11,114.7,113.39,113.92,113.31,117.31,118.55,118.39,121.46,122.74,123.28,125.28,125.83,126.4,127.23,129.4,129.65,129.81,132.35,134.49,136.07,137.6,140.12,141.57,141.56,145.3,150.34,147.84,152.42,154.14,154.0,153.57
106.5,107.51,108.89,108.88,109.23,109.79,110.1,111.16,109.54,109.57,109.81,110.72,111.46,114.13,114.61,115.95,119.09,119.79,121.58,124.03,127.15,130.25,132.64,136.34,138.88,142.14,147.26,156.31,163.49,176.01,194.34,204.2,211.1,227.23,238.18,241.23,247.29,246.0,243.4,239.12
109.42,112.46,110.68,112.73,114.74,115.77,117.48,117.42,117.56,122.24,121.58,121.88,121.83,125.6,125.82,128.01,129.35,132.52,134.82,134.91,138.78,142.55,147.07,147.36,149.44,152.02,156.78,160.98,163.2,169.55,179.12,183.89,187.28,194.36,203.33,209.01,215.87,221.23,226.94,234.93
105.93,107.09,109.05,109.19,110.97,111.25,112.22,113.58,114.63,115.16,116.36,115.88,117.44,118.67,120.1,120.74,123.02,124.21,125.48,126.3,127.6,127.69,129.74,130.37,131.61,132.3,133.69,134.86,135.74,136.88,138.24,139.49,142.03,142.42,142.67,143.55,143.41,144.1,144.88,145.86
105.68,104.76,105.65,107.81,109.59,108.93,111.48,112.49,112.08,113.76,115.69,114.47,113.83,113.52,115.32,117.02,119.35,122.21,122.46,123.89,124.57,126.0,128.92,131.9,131.26,133.62,135.72,138.55,142.58,146.4,153.68,159.82,163.38,174.06,183.62,194.08,197.21,205.9,205.06,209.57
109.73,110.74,112.52,114.12,114.18,115.78,116.53,118.12,117.9,120.17,120.21,120.86,121.97,125.65,126.12,127.6,128.62,130.05,131.73,133.08,134.85,137.15,138.81,139.01,140.59,142.51,144.24,149.36,150.6,152.55,157.14,158.69,159.74,162.43,167.08,167.47,167.86,169.13,170.22,171.97
109.96,112.78,112.15,114.07,115.57,116.48,118.96,119.93,121.52,118.97,119.79,118.01,121.4,119.67,122.32,123.03,126.89,127.05,127.72,128.08,128.12,129.24,131.12,132.42,132.56,134.16,135.39,134.71,136.06,137.34,139.62,139.26,141.25,142.86,146.42,145.23,147.58,148.63,146.33,150.33
110.17,111.84,114.73,116.66,117.59,120.51,124.7,127.39,131.32,136.75,140.41,143.56,146.84,150.45,154.0,156.0,159.72,163.23,164.72,166.83,168.81,170.84,173.58,175.25,176.89,179.13,181.16,183.64,188.93,191.73,201.14,206.99,214.11,223.24,231.36,242.5,247.71,256.45,261.12,265.85
111.42,113.56,114.49,116.44,118.28,119.09,120.94,121.9,123.43,124.67,125.51,126.66,127.03,128.74,129.99,131.55,134.49,135.51,136.46,137.49,138.0,138.5,140.37,140.78,141.82,142.82,143.16,144.35,145.37,146.16,146.65,148.99,150.31,151.13,154.31,156.63,159.13,161.37,165.18,168.2
104.44,104.48,106.99,108.41,107.33,108.93,109.83,111.38,110.79,113.46,115.24,118.24,118.74,123.35,124.76,127.69,129.57,133.24,136.46,136.74,139.89,144.3,147.93,148.43,151.08,155.81,158.76,164.59,167.28,173.1,183.78,186.84,194.68,206.9,214.57,222.5,227.11,233.27,237.31,238.13
111.36,111.85,113.35,114.73,117.26,117.48,119.39,120.78,122.61,123.3,124.27,124.81,125.01,126.99,127.85,129.91,133.01,134.51,135.85,137.51,138.29,138.96,142.09,143.21,144.53,146.33,147.94,149.62,151.7,153.36,156.14,158.04,160.97,165.48,167.21,170.38,172.31,174.68,175.59,177.21
108.34,109.24,110.09,112.6,113.73,113.82,114.25,114.12,114.73,115.99,117.73,117.08,119.9,120.78,121.42,123.51,124.78,126.49,129.47,129.74,133.1,133.49,136.28,137.83,138.93,142.99,145.88,148.2,152.37,155.86,160.16,164.13,166.56,168.07,171.75,174.8,178.15,178.64,182.94,183.85
107.11,107.66,108.77,109.96,110.8,111.45,112.71,113.45,114.7,116.34,118.66,120.25,123.12,125.75,128.13,129.89,131.65,134.24,137.34,138.94,141.75,144.82,147.22,149.15,151.01,152.87,155.31,160.94,163.01,167.33,174.45,177.05,181.26,186.77,191.15,195.7,198.86,201.3,203.27,205.03
101.6,102.09,103.46,104.25,105.3,104.5,105.32,105.85,107.06,106.74,108.62,107.71,111.43,114.49,118.09,121.47,124.01,129.69,133.47,135.17,138.07,145.64,152.71,157.75,161.8,167.32,175.11,186.36,190.49,198.75,215.28,223.99,230.09,243.73,257.91,265.63,269.26,270.61,267.15,265.01
108.75,109.95,111.33,112.38,113.65,115.1,116.33,117.53,118.86,120.43,121.41,122.0,123.98,125.85,127.65,129.2,130.97,132.63,133.75,134.53,135.95,137.27,138.31,139.31,140.47,141.33,142.49,144.29,145.19,146.71,149.02,151.02,151.88,153.67,154.93,155.9,156.41,155.97,156.01,157.8
109.46,110.7,113.33,114.92,115.14,116.55,115.27,118.71,118.58,118.97,121.01,120.83,120.78,121.67,122.65,122.53,127.67,127.11,128.92,129.06,129.5,129.93,131.56,133.68,134.65,134.47,134.88,137.49,137.46,140.05,141.03,142.37,145.16,150.6,152.27,153.82,159.29,160.07,159.89,161.91
110.21,112.01,117.79,115.88,119.42,119.19,120.78,122.67,124.51,125.21,125.2,121.22,126.74,128.57,128.57,129.84,136.37,136.02,134.51,138.81,140.95,139.52,143.74,144.91,146.04,147.83,148.23,148.19,149.45,152.09,156.67,154.68,155.88,161.55,164.3,165.51,167.19,170.96,175.21,178.86
111.09,111.65,112.86,114.29,115.85,116.59,117.85,119.02,120.48,121.15,121.41,121.66,123.29,124.42,125.73,127.35,130.05,130.99,132.45,133.57,134.4,135.67,136.72,137.91,138.92,139.78,141.15,142.87,144.1,145.01,146.69,148.19,148.85,150.2,151.32,151.02,151.27,150.19,149.1,148.89
102.73,104.68,104.8,107.82,108.83,108.72,108.5,110.45,112.28,110.28,107.36,108.47,109.53,108.31,110.75,110.31,113.0,114.42,114.7,115.98,116.66,116.37,118.91,119.61,121.02,122.29,124.74,127.15,128.72,135.96,143.43,149.97,159.7,174.77,189.91,197.88,206.16,210.96,213.48,216.45
103.28,103.51,105.04,105.58,106.88,108.16,109.08,109.5,109.53,112.65,115.24,112.2,114.33,119.64,119.69,119.66,124.18,123.46,126.56,126.57,127.7,129.44,130.3,131.69,133.68,134.03,134.52,135.89,137.83,138.75,140.42,143.14,142.66,144.83,146.71,145.12,148.44,151.29,154.91,156.26
112.78,113.75,115.31,116.77,118.68,119.59,120.68,121.85,123.05,124.03,125.61,127.15,131.06,131.81,134.22,136.41,140.83,143.44,146.42,147.98,149.46,150.7,153.36,154.72,155.33,155.7,156.92,158.54,160.61,161.61,165.23,167.77,169.29,173.72,177.1,179.63,181.87,182.19,183.94,185.32
106.01,106.26,107.77,108.38,108.76,110.56,111.44,110.97,112.66,114.09,114.5,114.46,115.79,117.3,118.36,119.09,120.67,122.01,122.74,123.59,124.91,125.82,127.24,127.35,128.56,128.74,129.99,133.17,133.45,135.57,139.54,140.74,143.13,146.09,150.48,151.81,152.38,153.57,155.54,157.09
107.19,107.82,109.97,110.99,112.66,113.3,114.85,116.29,117.17,118.94,119.49,120.26,121.42,123.11,124.26,125.86,129.49,130.52,131.58,132.68,133.47,134.02,136.06,137.26,138.28,139.48,140.22,142.25,143.81,145.18,146.78,149.46,151.42,154.64,156.93,159.46,161.12,161.99,164.06,168.05
107.14,108.31,110.22,111.89,113.29,113.26,115.4,116.15,118.16,118.68,118.66,119.5,121.64,122.5,123.85,125.37,127.19,129.93,130.34,131.56,133.29,132.63,134.45,135.91,137.5,138.91,140.19,141.65,143.22,145.55,149.45,148.74,154.64,158.24,162.94,164.45,169.0,171.47,173.3,179.4
107.41,109.2,110.78,111.94,112.04,114.11,113.12,113.8,113.16,114.6,116.36,112.99,114.1,115.22,116.06,117.16,119.36,120.22,120.21,120.22,120.41,120.31,121.15,122.29,122.7,122.46,123.97,124.98,125.39,126.37,127.76,128.64,129.63,132.54,134.16,133.4,135.89,134.37,135.47,137.28
110.43,111.1,112.2,113.53,115.16,115.89,117.17,118.71,119.8,120.99,121.39,122.54,123.95,125.52,126.77,128.47,130.91,132.18,133.58,134.76,136.11,137.27,138.89,139.69,140.97,142.01,143.17,145.67,146.71,147.63,149.59,151.53,152.85,154.68,155.94,156.36,156.55,156.43,156.34,156.71
104.77,105.81,107.02,106.32,108.1,107.55,108.09,109.5,108.74,111.48,113.66,113.56,112.11,113.57,113.84,115.92,114.4,119.32,120.25,120.78,122.56,123.56,126.24,127.73,128.62,128.7,132.02,132.58,134.57,136.81,139.69,144.27,144.29,148.29,151.41,154.11,156.08,160.0,159.76,160.54
